date,total_new_confirmed,total_new_deceased,total_cumulative_confirmed,total_cumulative_deceased,total_cumulative_tested,total_new_persons_vaccinated,total_cumulative_persons_vaccinated,total_new_persons_fully_vaccinated,total_cumulative_persons_fully_vaccinated,total_new_vaccine_doses_administered,total_cumulative_vaccine_doses_administered,total_new_hospitalized_patients,total_cumulative_hospitalized_patients,total_cumulative_recovered,total_new_recovered,total_cumulative_intensive_care_patients
2022-09-17,,,,,,,,,,,,,,,,
2022-09-16,,,,,,,,,,,,,,,,
2022-09-15,,,,,,,,,,,,,,,,
2022-09-14,41909,318,80452470,953464,721507593,67576,1025532632,187360,945633577,2081070,2157151049,,,76946066,41281,
2022-09-13,34220,-2561,124930923,1481434,723831224,72751,1025465056,202865,945446217,2154402,2155069979,,,76908630,28452,
2022-09-12,17876,2694,124900586,1484033,709931165,61675,1025392305,272886,945243352,2793175,2152915577,,,76884023,20936,
2022-09-11,14810,77,124886597,1481377,719866894,61419,1025330630,238500,944970466,2047213,2150122402,,,76866932,1926,
2022-09-10,16121,67,124875674,1481338,709503781,68210,1025269211,190853,944731966,2138217,2148075189,,,76868852,21544,
2022-09-09,16774,75,124863440,1481309,719369163,84366,1025201001,299942,944541113,2705864,2145936972,,,76851151,12504,
2022-09-08,18959,94,124850552,1481272,721659371,91230,1025116635,281603,944241171,3571278,2143231108,,,76842488,14619,
2022-09-07,18186,107,124835478,1481216,721341910,68762,1025025405,196149,943959568,2098773,2139659830,,,76831710,11987,
2022-09-06,14688,-2475,124821175,1481147,721101575,58916,1024956643,184733,943763419,1977400,2137561057,,,76823563,13313,
2022-09-05,18338,2681,124810370,1483660,718274248,66362,1024897727,284476,943578686,2925199,2135583657,,,76814082,13261,
2022-09-04,16320,81,124795915,1481017,718061798,73476,1024831365,255556,943294210,2194272,2132658458,,,76804661,13172,
2022-09-03,23452,114,124783479,1480974,717775671,83634,1024757889,236309,943038654,2540787,2130464186,,,76795329,20949,
2022-09-02,16523,108,124763909,1480898,720052238,98812,1024674255,300925,942802345,2309439,2127923399,,,76778206,11531,
2022-09-01,19582,91,124751265,1480828,719755139,59316,1024575443,174229,942501420,1427027,2125613960,,,76770501,17634,
2022-08-31,39223,62803,124735562,1480775,719462298,64238,1024516127,194101,942327191,2087696,2124186933,,,76756688,6649923,
2022-08-30,4413,-65120,124700217,1418010,719178085,88809,1024451889,249788,942133090,2597118,2122099237,,,70110580,-6610477,
2022-08-29,21011,2734,124699681,1483168,716239038,48761,1024363080,163771,941883302,2481969,2119502119,,,76724862,32598,
2022-08-28,9920,122,124682546,1480472,715943175,98123,1024314319,260240,941719531,2566293,2117020150,,,76696061,16162,
2022-08-27,40591,397,124397158,1476096,712344687,103519,1024216196,280254,941459291,2577855,2114453857,,,76546254,23512,
2022-08-26,26785,256,124508166,1478577,715229809,136266,1024112677,425558,941179037,3151893,2111876002,,,76533897,21369,
2022-08-25,29472,191,124616822,1479812,714887098,107069,1023976411,328050,940753479,2486565,2108724109,,,76646384,25863,
2022-08-24,58257,384,124591191,1479660,717064769,106038,1023869342,292806,940425429,2609675,2106237544,,,76624261,51866,
2022-08-23,19958,123,124536788,1479315,716729300,97211,1023763304,304015,940132623,2938668,2103627869,,,76576166,19757,
2022-08-22,55566,280,124520673,1479231,716405070,97116,1023666093,371584,939828608,3300298,2100689201,,,76560163,36367,
2022-08-21,-13169,63721,124468943,1478990,671090294,106355,1023568977,362704,939457024,2950311,2097388903,,,76527553,6584368,
2022-08-20,43797,-63719,124485949,1415308,672521234,55400,1023462622,182462,939094320,1460501,2094438592,,,69946941,-6565628,
2022-08-19,32528,126,124445985,1479066,674740280,123882,1023407222,323991,938911858,2916509,2092978091,,,76516299,21620,
2022-08-18,38763,136,124417291,1478979,671884482,117201,1023283340,367069,938587867,3764791,2090061582,,,76498394,24345,
2022-08-17,77314,504,124382346,1478882,672527399,89962,1023166139,280779,938220798,2799426,2086296791,,,76477768,67468,
2022-08-16,-201,-69,124308846,1478417,672224663,21398,1023076177,87641,937940019,851068,2083497365,,,76414014,-4272,
2022-08-15,14793,6,124312840,1478525,673704909,44454,1023054779,158269,937852378,2332057,2082646297,,,76421998,14302,
2022-08-14,33533,123,124301849,1478558,669327824,99156,1023010325,312932,937694109,2646304,2080314240,,,76411391,24163,
2022-08-13,36779,123,124272115,1478474,668999395,96540,1022911169,285232,937381177,2593169,2077667936,,,76390924,27485,
2022-08-12,47411,386,124239112,1478390,668730177,92074,1022814629,280747,937095945,1829031,2075074767,,,76367114,38119,
2022-08-11,44112,169,124195461,1478043,668393184,102302,1022722555,319051,936815198,2504854,2073245736,,,76332657,31749,
2022-08-10,42973,-2405,124155117,1477913,669714833,67149,1022620253,189905,936496147,1585893,2070740882,,,76304545,24167,
2022-08-09,46646,2751,124115894,1480357,669504079,130120,1022553104,346221,936306242,2975831,2069154989,,,76284007,43234,
2022-08-08,38119,151,124072998,1477645,669097532,140253,1022422984,443185,935960021,3317081,2066179158,,,76244415,27407,
2022-08-07,89816,61296,124038609,1477533,671446966,148562,1022282731,458989,935516836,3089012,2062862077,,,76220650,6653492,
2022-08-06,54096,-60571,123952530,1416276,708761530,163183,1022134169,433656,935057847,3284793,2059773065,,,69570833,-6536871,
2022-08-05,21303,-83,123902149,1476886,710883514,202185,1021970986,567468,934624191,3587918,2056488272,,,76111390,3421,
2022-08-04,80050,399,123884550,1477008,710529207,268770,1021768801,820983,934056723,6383581,2052900354,,,76111673,62361,
2022-08-03,15723,-152,123808183,1476649,707616158,,,,,,,,,76053045,-3552,
2022-08-02,76961,58574,123796132,1476841,709762947,134823,1021500031,348000,933235740,2698485,2046516773,,,76060319,6627802,
2022-08-01,27593,-58179,123722853,1418307,709414840,38025,1021365208,112346,932887740,1043383,2043818288,,,69436240,-6546470,
2022-07-31,86405,-2106,123698943,1476525,668712571,131798,1021327183,336736,932775394,2700603,2042774905,,,75986440,69257,
2022-07-30,41521,2611,123616255,1478670,665699914,170304,1021195385,425298,932438658,3419630,2040074302,,,75920919,26117,
