title,type,genres,year,Genres1,Genres2,Genres3
Regeneration,movie,"[""Biography"",""Crime"",""Drama""]",1915,Biography,Crime,Drama
Where Are My Children?,movie,"[""Drama""]",1916,Drama,,
Civilization,movie,"[""Drama""]",1916,Drama,,
Three Ages,movie,"[""Comedy""]",1923,Comedy,,
Clash of the Wolves,movie,"[""Adventure"",""Romance"",""Western""]",1925,Adventure,Romance,Western
Lady Windermere's Fan,movie,"[""Comedy""]",1925,Comedy,,
Upstream,movie,"[""Comedy"",""Drama""]",1927,Comedy,Drama,
Four Sons,movie,"[""Drama"",""War""]",1928,Drama,War,
Westfront 1918,movie,"[""Drama"",""Romance"",""War""]",1930,Drama,Romance,War
Bad Girl,movie,"[""Drama""]",1931,Drama,,
High and Dizzy,movie,"[""Comedy"",""Short""]",1920,Comedy,Short,
Broken Lullaby,movie,"[""Drama""]",1932,Drama,,
Foolish Wives,movie,"[""Drama""]",1922,Drama,,
Movie Crazy,movie,"[""Comedy"",""Family"",""Romance""]",1932,Comedy,Family,Romance
A Woman of Paris: A Drama of Fate,movie,"[""Drama"",""Romance""]",1923,Drama,Romance,
Payment Deferred,movie,"[""Crime"",""Drama""]",1932,Crime,Drama,
Wild Oranges,movie,"[""Drama"",""Romance""]",1924,Drama,Romance,
White Shadows,movie,"[""Drama""]",1924,Drama,,
Trouble in Paradise,movie,"[""Comedy"",""Crime"",""Romance""]",1932,Comedy,Crime,Romance
The Wedding March,movie,"[""Drama""]",1928,Drama,,
Topaze,movie,"[""Drama"",""Comedy""]",1933,Drama,Comedy,
Hallelujah,movie,"[""Drama"",""Musical""]",1929,Drama,Musical,
The Barretts of Wimpole Street,movie,"[""Biography"",""Drama"",""Romance""]",1934,Biography,Drama,Romance
Maria Chapdelaine,movie,"[""Drama""]",1934,Drama,,
The Sin of Madelon Claudet,movie,"[""Drama""]",1931,Drama,,
Red Dust,movie,"[""Drama"",""Romance""]",1932,Drama,Romance,
Folies Bergère de Paris,movie,"[""Comedy"",""Musical""]",1935,Comedy,Musical,
The New Gulliver,movie,"[""Animation"",""Fantasy""]",1935,Animation,Fantasy,
Scarface,movie,"[""Action"",""Crime"",""Drama""]",1932,Action,Crime,Drama
Shanghai Express,movie,"[""Adventure"",""Drama"",""Romance""]",1932,Adventure,Drama,Romance
Top Hat,movie,"[""Comedy"",""Musical"",""Romance""]",1935,Comedy,Musical,Romance
Dekigokoro,movie,"[""Drama""]",1933,Drama,,
The Garden of Allah,movie,"[""Adventure"",""Drama"",""Romance""]",1936,Adventure,Drama,Romance
Lloyd's of London,movie,"[""Drama"",""History"",""Romance""]",1936,Drama,History,Romance
Flying Down to Rio,movie,"[""Comedy"",""Musical"",""Romance""]",1933,Comedy,Musical,Romance
The Private Life of Henry VIII.,movie,"[""Biography"",""Comedy"",""Drama""]",1933,Biography,Comedy,Drama
The Prisoner of Shark Island,movie,"[""Biography"",""Drama"",""History""]",1936,Biography,Drama,History
The Story of a Cheat,movie,"[""Comedy""]",1936,Comedy,,
She Done Him Wrong,movie,"[""Comedy"",""Drama"",""History""]",1933,Comedy,Drama,History
The Black Cat,movie,"[""Horror"",""Crime"",""Adventure""]",1934,Horror,Crime,Adventure
These Three,movie,"[""Drama"",""Romance""]",1936,Drama,Romance,
In Old Chicago,movie,"[""Action"",""Drama"",""Musical""]",1937,Action,Drama,Musical
It's a Gift,movie,"[""Comedy""]",1934,Comedy,,
The Lost Patrol,movie,"[""Adventure"",""War""]",1934,Adventure,War,
Kid Galahad,movie,"[""Crime"",""Drama"",""Romance""]",1937,Crime,Drama,Romance
They Won't Forget,movie,"[""Drama"",""Film-Noir"",""Mystery""]",1937,Drama,Film-Noir,Mystery
The Man Who Knew Too Much,movie,"[""Crime"",""Film-Noir"",""Mystery""]",1934,Crime,Film-Noir,Mystery
The World Moves On,movie,"[""Drama"",""History"",""Romance""]",1934,Drama,History,Romance
Drums,movie,"[""Adventure"",""War""]",1938,Adventure,War,
Hotel du Nord,movie,"[""Drama"",""Romance""]",1938,Drama,Romance,
Broadway Melody of 1936,movie,"[""Musical"",""Romance""]",1935,Musical,Romance,
China Seas,movie,"[""Action"",""Drama"",""Adventure""]",1935,Action,Drama,Adventure
Destry Rides Again,movie,"[""Comedy"",""Western""]",1939,Comedy,Western,
The Four Feathers,movie,"[""Adventure"",""Drama"",""Romance""]",1939,Adventure,Drama,Romance
Naughty Marietta,movie,"[""Drama"",""Musical"",""Romance""]",1935,Drama,Musical,Romance
Wife! Be Like a Rose!,movie,"[""Drama""]",1935,Drama,,
Of Mice and Men,movie,"[""Drama""]",1939,Drama,,
Who Killed Cock Robin?,movie,"[""Animation"",""Comedy"",""Family""]",1935,Animation,Comedy,Family
The Rains Came,movie,"[""Adventure"",""Drama"",""Romance""]",1939,Adventure,Drama,Romance
The Beloved Vagabond,movie,"[""Drama"",""Musical""]",1936,Drama,Musical,
Come and Get It,movie,"[""Drama""]",1936,Drama,,
The Spy in Black,movie,"[""Thriller"",""War""]",1939,Thriller,War,
Tevya,movie,"[""Drama""]",1939,Drama,,
Dodsworth,movie,"[""Drama"",""Romance""]",1936,Drama,Romance,
Rembrandt,movie,"[""Biography"",""Drama""]",1936,Biography,Drama,
Black Friday,movie,"[""Drama"",""Horror"",""Sci-Fi""]",1940,Drama,Horror,Sci-Fi
His Girl Friday,movie,"[""Comedy"",""Drama"",""Romance""]",1940,Comedy,Drama,Romance
Romeo and Juliet,movie,"[""Drama"",""Romance""]",1936,Drama,Romance,
Theodora Goes Wild,movie,"[""Comedy"",""Romance""]",1936,Comedy,Romance,
Blossoms in the Dust,movie,"[""Biography"",""Drama"",""Romance""]",1941,Biography,Drama,Romance
The Well-Digger's Daughter,movie,"[""Comedy"",""Drama"",""Romance""]",1940,Comedy,Drama,Romance
Make Way for Tomorrow,movie,"[""Drama"",""Romance""]",1937,Drama,Romance,
The Prince and the Pauper,movie,"[""Adventure"",""Drama"",""Family""]",1937,Adventure,Drama,Family
'Pimpernel' Smith,movie,"[""Adventure"",""Comedy"",""Drama""]",1941,Adventure,Comedy,Drama
Across the Pacific,movie,"[""Action"",""Adventure"",""Drama""]",1942,Action,Adventure,Drama
The Adventures of Robin Hood,movie,"[""Action"",""Adventure"",""Romance""]",1938,Action,Adventure,Romance
The Adventures of Tom Sawyer,movie,"[""Family"",""Adventure""]",1938,Family,Adventure,
The Black Swan,movie,"[""Action"",""Adventure"",""Drama""]",1942,Action,Adventure,Drama
The Hard Way,movie,"[""Drama"",""Musical"",""Romance""]",1943,Drama,Musical,Romance
Four Daughters,movie,"[""Drama"",""Music"",""Romance""]",1938,Drama,Music,Romance
Mother Carey's Chickens,movie,"[""Drama"",""Romance""]",1938,Drama,Romance,
The Magnificent Ambersons,movie,"[""Drama"",""Romance""]",1942,Drama,Romance,
Ossessione,movie,"[""Crime"",""Drama"",""Romance""]",1943,Crime,Drama,Romance
Olympia Part One: Festival of the Nations,movie,"[""Documentary"",""Sport""]",1938,Documentary,Sport,
Volga - Volga,movie,"[""Comedy"",""Musical""]",1938,Comedy,Musical,
Kate & Leopold,movie,"[""Comedy"",""Fantasy"",""Romance""]",2001,Comedy,Fantasy,Romance
To Be or Not to Be,movie,"[""Comedy"",""War""]",1942,Comedy,War,
You and Me,movie,"[""Crime"",""Romance""]",1938,Crime,Romance,
La fin du jour,movie,"[""Drama""]",1939,Drama,,
I Walked with a Zombie,movie,"[""Horror""]",1943,Horror,,
Zangiku monogatari,movie,"[""Drama"",""Romance""]",1939,Drama,Romance,
Meshes of the Afternoon,movie,"[""Short""]",1943,Short,,
The Bank Dick,movie,"[""Comedy""]",1940,Comedy,,
Dots,movie,"[""Short"",""Animation""]",1940,Short,Animation,
The Memphis Belle: A Story of a Flying Fortress,movie,"[""Documentary"",""History"",""War""]",1944,Documentary,History,War
Report from the Aleutians,movie,"[""Documentary"",""War""]",1943,Documentary,War,
Fantasia,movie,"[""Animation"",""Family"",""Fantasy""]",1940,Animation,Family,Fantasy
Major Barbara,movie,"[""Comedy""]",1941,Comedy,,
Saludos Amigos,movie,"[""Animation"",""Short"",""Family""]",1942,Animation,Short,Family
The Sea Wolf,movie,"[""Drama"",""Adventure""]",1941,Drama,Adventure,
The Fighting Lady,movie,"[""Documentary"",""War""]",1944,Documentary,War,
Going My Way,movie,"[""Comedy"",""Drama"",""Music""]",1944,Comedy,Drama,Music
Sergeant York,movie,"[""Biography"",""Drama"",""History""]",1941,Biography,Drama,History
Cat People,movie,"[""Horror"",""Thriller""]",1942,Horror,Thriller,
Hail the Conquering Hero,movie,"[""Comedy"",""War""]",1944,Comedy,War,
Detour,movie,"[""Crime"",""Drama"",""Film-Noir""]",1945,Crime,Drama,Film-Noir
People on the Alps,movie,"[""Drama""]",1942,Drama,,
Bataan,movie,"[""War""]",1943,War,,
House of Dracula,movie,"[""Fantasy"",""Horror"",""Sci-Fi""]",1945,Fantasy,Horror,Sci-Fi
La perla,movie,"[""Adventure"",""Drama"",""Romance""]",1947,Adventure,Drama,Romance
So Proudly We Hail!,movie,"[""Drama"",""Romance"",""War""]",1943,Drama,Romance,War
Watch on the Rhine,movie,"[""Drama""]",1943,Drama,,
The Southerner,movie,"[""Drama""]",1945,Drama,,
Since You Went Away,movie,"[""Drama"",""Romance"",""War""]",1944,Drama,Romance,War
Enamorada,movie,"[""Comedy"",""Romance"",""Drama""]",1946,Comedy,Romance,Drama
The Eagle with Two Heads,movie,"[""Drama""]",1948,Drama,,
Rhapsody in Blue,movie,"[""Biography"",""Drama"",""Musical""]",1945,Biography,Drama,Musical
Body and Soul,movie,"[""Drama"",""Film-Noir"",""Sport""]",1947,Drama,Film-Noir,Sport
A Tree Grows in Brooklyn,movie,"[""Drama""]",1945,Drama,,
The Big Sleep,movie,"[""Crime"",""Film-Noir"",""Mystery""]",1946,Crime,Film-Noir,Mystery
The Cat Concerto,movie,"[""Animation"",""Short"",""Comedy""]",1947,Animation,Short,Comedy
Gentleman's Agreement,movie,"[""Drama""]",1947,Drama,,
Let There Be Light,movie,"[""Documentary"",""War""]",1946,Documentary,War,
Make Mine Music,movie,"[""Animation"",""Family"",""Music""]",1946,Animation,Family,Music
Hungry Hill,movie,"[""Drama""]",1947,Drama,,
Murderers Among Us,movie,"[""Drama"",""Romance"",""Thriller""]",1946,Drama,Romance,Thriller
La porta del cielo,movie,,1945,,,
The Yearling,movie,"[""Drama"",""Family""]",1946,Drama,Family,
Lost Youth,movie,"[""Drama""]",1948,Drama,,
Mine Own Executioner,movie,"[""Drama"",""Thriller""]",1947,Drama,Thriller,
Traffic in Souls,movie,"[""Crime"",""Drama""]",1913,Crime,Drama,
Gertie the Dinosaur,movie,"[""Animation"",""Short"",""Comedy""]",1914,Animation,Short,Comedy
The Italian,movie,"[""Drama""]",1915,Drama,,
From Hand to Mouth,movie,"[""Comedy"",""Short"",""Action""]",1919,Comedy,Short,Action
The Saphead,movie,"[""Comedy""]",1920,Comedy,,
The Four Horsemen of the Apocalypse,movie,"[""Drama"",""Romance"",""War""]",1921,Drama,Romance,War
Salomè,movie,"[""Biography"",""Drama"",""History""]",1922,Biography,Drama,History
